week,date,long_ret,short_ret,ctrend_ret,n_coins,n_long,n_short,n_cols
202603,2026-01-16,-0.05948838787984214,-0.08412821022553867,0.024639822345696526,163,33,33,28
202604,2026-01-23,-0.023257224715192166,-0.08094163813916651,0.057684413423974346,153,31,31,28
202605,2026-01-30,-0.011101274293428191,-0.1586513763314379,0.1475501020380097,173,35,35,28
202606,2026-02-06,-0.01356004757410163,-0.01356004757410163,0.0,178,178,178,28
202607,2026-02-13,-0.008774242245650354,-0.008774242245650354,0.0,149,149,149,28
202608,2026-02-20,-0.025154492702316036,-0.025154492702316036,0.0,150,150,150,28
202609,2026-02-27,0.014429835135695984,0.014429835135695984,0.0,159,159,159,28
202610,2026-03-06,0.032079352006150016,0.032079352006150016,0.0,150,150,150,28
202611,2026-03-13,-0.00041677448738092573,-0.00041677448738092573,0.0,165,165,165,28
202612,2026-03-20,-0.037052112235354116,-0.037052112235354116,0.0,143,143,143,28
202613,2026-03-27,0.005636201473032469,0.005636201473032469,0.0,149,149,149,28
202614,2026-04-03,0.0419809109906658,0.0419809109906658,0.0,158,158,158,28
202615,2026-04-10,0.03349801042792994,0.03349801042792994,0.0,165,165,165,28
202616,2026-04-17,-0.018036085070397244,-0.018036085070397244,0.0,194,194,194,28
202617,2026-04-24,0.0017340604000522116,0.0017340604000522116,0.0,175,175,175,28
202618,2026-05-01,0.04678758667410121,0.04678758667410121,0.0,152,152,152,28
202619,2026-05-08,-0.0406314377598324,-0.0406314377598324,0.0,185,185,185,28
202620,2026-05-15,-0.03157394518815573,-0.03157394518815573,0.0,186,186,186,28
202621,2026-05-22,-0.0025285801518138253,-0.0025285801518138253,0.0,14,14,14,28
